序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1758,002719,ST麦趣,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:4,500万元至5,000万元,同比上年下降:3009.53%至3332.81%。",-47500000.0,-3171.17,"公司2026年半年度业绩预亏的主要原因:1、报告期内,公司基于长期经营发展规划,持续优化牛群结构,主动加大低效、低产生物资产的淘汰更新力度。本次结构性调整使得公司养殖板块整体存栏生产效率短期下降,整体产奶量出现阶段性回落。由于养殖场地、设备、人员等固定成本保持相对稳定,产奶量下降直接导致单位产品固定成本分摊比例上升,养殖业务整体盈利空间被压缩,最终造成子公司畜牧养殖业务亏损幅度同比增加。2、报告期内,国内乳制品行业市场竞争持续加剧,行业终端市场价格及渠道竞争趋于白热化。公司持续深耕产品创新,在发酵乳新品研发、迭代方面取得阶段性突破,但新品尚处于市场培育及推广初期,产能释放及市场销量尚未形成规模效应,暂未对公司营收及利润形成有效支撑。同时,受行业竞争及市场需求波动影响,公司乳制品整体营业收入同比有所下滑,而生产、仓储、渠道等环节固定成本刚性较强,进一步抬升整体固定成本占比,致使乳制品业务整体亏损规模较上期有所扩大。3、报告期内,国内烘焙专门店行业处于深度调整阶段,行业呈现市场扩容与行业整合并行的发展态势,市场竞争日趋激烈。受整体消费环境及区域市场竞争影响,公司部分烘焙门店终端客流及销售收入有所下滑。为持续优化终端经营体系、提升门店长期运营能力,公司持续推进门店布局优化、场景升级及运营体系调整,门店改造、市场推广等相关销售费用阶段性增加。",首亏,1546600.0,2026-07-15
1759,002719,ST麦趣,每股收益,预计2026年1-6月每股收益亏损:0.2584元至0.2871元。,-0.27275,,"公司2026年半年度业绩预亏的主要原因:1、报告期内,公司基于长期经营发展规划,持续优化牛群结构,主动加大低效、低产生物资产的淘汰更新力度。本次结构性调整使得公司养殖板块整体存栏生产效率短期下降,整体产奶量出现阶段性回落。由于养殖场地、设备、人员等固定成本保持相对稳定,产奶量下降直接导致单位产品固定成本分摊比例上升,养殖业务整体盈利空间被压缩,最终造成子公司畜牧养殖业务亏损幅度同比增加。2、报告期内,国内乳制品行业市场竞争持续加剧,行业终端市场价格及渠道竞争趋于白热化。公司持续深耕产品创新,在发酵乳新品研发、迭代方面取得阶段性突破,但新品尚处于市场培育及推广初期,产能释放及市场销量尚未形成规模效应,暂未对公司营收及利润形成有效支撑。同时,受行业竞争及市场需求波动影响,公司乳制品整体营业收入同比有所下滑,而生产、仓储、渠道等环节固定成本刚性较强,进一步抬升整体固定成本占比,致使乳制品业务整体亏损规模较上期有所扩大。3、报告期内,国内烘焙专门店行业处于深度调整阶段,行业呈现市场扩容与行业整合并行的发展态势,市场竞争日趋激烈。受整体消费环境及区域市场竞争影响,公司部分烘焙门店终端客流及销售收入有所下滑。为持续优化终端经营体系、提升门店长期运营能力,公司持续推进门店布局优化、场景升级及运营体系调整,门店改造、市场推广等相关销售费用阶段性增加。",首亏,0.0089,2026-07-15
1760,002718,友邦吊顶,每股收益,预计2026年1-6月每股收益亏损:0.004元至0.008元。,-0.006,,"报告期内,公司净利润为负,主要系受整体房地产市场规模下滑影响,公司整体销量下滑,同时公司主要原材料价格上涨,致单位成本上升,叠加其他因素,共同作用下致本期净利润为亏损。",首亏,0.08,2026-07-15
1761,002718,友邦吊顶,归属于上市公司股东的净利润,预计2026年1-6月归属于上市公司股东的净利润亏损:50万元至100万元。,-750000.0,-107.385,"报告期内,公司净利润为负,主要系受整体房地产市场规模下滑影响,公司整体销量下滑,同时公司主要原材料价格上涨,致单位成本上升,叠加其他因素,共同作用下致本期净利润为亏损。",首亏,10157000.0,2026-07-15
1762,002718,友邦吊顶,扣除非经常性损益后的净利润,预计2026年1-6月扣除非经常性损益后的净利润亏损:100万元至200万元。,-1500000.0,-115.24,"报告期内,公司净利润为负,主要系受整体房地产市场规模下滑影响,公司整体销量下滑,同时公司主要原材料价格上涨,致单位成本上升,叠加其他因素,共同作用下致本期净利润为亏损。",首亏,9842100.0,2026-07-15
1763,002713,东易日盛,每股收益,预计2026年1-6月每股收益亏损:0.01元至0.015元。,-0.0125,,"报告期内,公司归属于上市公司股东的净利润减亏,主要系公司债务重组收益确认所致。预计本期非经常性损益约1,900万元,主要来自上述债务重组收益。扣非后净利润亏损同比有所收窄。",减亏,-0.05,2026-07-15
1764,002713,东易日盛,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:950万元至1,400万元。",-11750000.0,77.175,"报告期内,公司归属于上市公司股东的净利润减亏,主要系公司债务重组收益确认所致。预计本期非经常性损益约1,900万元,主要来自上述债务重组收益。扣非后净利润亏损同比有所收窄。",减亏,-51479200.0,2026-07-15
1765,002713,东易日盛,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:2,500万元至3,700万元。",-31000000.0,24.715,"报告期内,公司归属于上市公司股东的净利润减亏,主要系公司债务重组收益确认所致。预计本期非经常性损益约1,900万元,主要来自上述债务重组收益。扣非后净利润亏损同比有所收窄。",减亏,-41176100.0,2026-07-15
1766,002712,思美传媒,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:80万元至120万元,同比上年增长:107.02%至110.52%。",1000000.0,108.77,"本期公司归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要系公司持续统筹优化广告营销业务布局,经营规模稳步扩张,营业收入同比实现增长,经营层面盈利能力有所改善。报告期内,公司全资子公司四川八方腾泰科技有限责任公司补缴税款及滞纳金949.93万元,该笔支出全额计入本期当期损益,对本期归属于上市公司股东的净利润形成较大抵减。",扭亏,-11402400.0,2026-07-15
1767,002712,思美传媒,每股收益,预计2026年1-6月每股收益盈利:0.0015元至0.0022元。,0.00185,,"本期公司归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要系公司持续统筹优化广告营销业务布局,经营规模稳步扩张,营业收入同比实现增长,经营层面盈利能力有所改善。报告期内,公司全资子公司四川八方腾泰科技有限责任公司补缴税款及滞纳金949.93万元,该笔支出全额计入本期当期损益,对本期归属于上市公司股东的净利润形成较大抵减。",扭亏,-0.0209,2026-07-15
1768,002712,思美传媒,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:180万元至360万元,同比上年增长:70.6%至85.3%。",-2700000.0,77.95,"本期公司归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要系公司持续统筹优化广告营销业务布局,经营规模稳步扩张,营业收入同比实现增长,经营层面盈利能力有所改善。报告期内,公司全资子公司四川八方腾泰科技有限责任公司补缴税款及滞纳金949.93万元,该笔支出全额计入本期当期损益,对本期归属于上市公司股东的净利润形成较大抵减。",减亏,-12246800.0,2026-07-15
1769,002705,新宝股份,每股收益,预计2026年1-6月每股收益盈利:0.1552元至0.1925元。,0.17385,,"公司2026年半年度业绩变动的主要原因:全球宏观环境复杂多变,市场总体需求较弱,小家电行业竞争加剧,价格竞争激烈;同时,受大宗原材料价格上涨及人民币兑美元汇率持续升值等因素影响,公司总体毛利率有所下降;另外,公司出口业务占比80%左右,主要结算货币是美元,受人民币兑美元汇率持续升值的影响,公司2026年上半年财务费用中的汇兑损失较上年同期增加较多。面对现实经营压力,公司已采取提高出口产品价格、内部降本增效等措施,逐步改善经营质量,但改善效果有一定的滞后性。公司会持续寻求改善经营的措施,积极开拓国内外市场,争取早日实现经营质量的好转。",预减,0.6717,2026-07-15
1770,002705,新宝股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:12,500万元至15,500万元,同比上年下降:71.44%至76.97%。",140000000.0,-74.205,"公司2026年半年度业绩变动的主要原因:全球宏观环境复杂多变,市场总体需求较弱,小家电行业竞争加剧,价格竞争激烈;同时,受大宗原材料价格上涨及人民币兑美元汇率持续升值等因素影响,公司总体毛利率有所下降;另外,公司出口业务占比80%左右,主要结算货币是美元,受人民币兑美元汇率持续升值的影响,公司2026年上半年财务费用中的汇兑损失较上年同期增加较多。面对现实经营压力,公司已采取提高出口产品价格、内部降本增效等措施,逐步改善经营质量,但改善效果有一定的滞后性。公司会持续寻求改善经营的措施,积极开拓国内外市场,争取早日实现经营质量的好转。",预减,542772100.0,2026-07-15
1771,002705,新宝股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:10,200万元至13,200万元,同比上年下降:75.19%至80.83%。",117000000.0,-78.01,"公司2026年半年度业绩变动的主要原因:全球宏观环境复杂多变,市场总体需求较弱,小家电行业竞争加剧,价格竞争激烈;同时,受大宗原材料价格上涨及人民币兑美元汇率持续升值等因素影响,公司总体毛利率有所下降;另外,公司出口业务占比80%左右,主要结算货币是美元,受人民币兑美元汇率持续升值的影响,公司2026年上半年财务费用中的汇兑损失较上年同期增加较多。面对现实经营压力,公司已采取提高出口产品价格、内部降本增效等措施,逐步改善经营质量,但改善效果有一定的滞后性。公司会持续寻求改善经营的措施,积极开拓国内外市场,争取早日实现经营质量的好转。",预减,532088400.0,2026-07-15
1772,002702,海欣食品,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,200万元至1,600万元,同比上年增长:21.2%至40.9%。",-14000000.0,31.05,"报告期内,公司加大重点渠道促销政策及市场费用投入,强化定制产品的拓展,相关措施有效转化为收入增量,实现了营业收入、净利润的同比增长。公司后续将持续提升经营能力,改善盈利水平。",减亏,-20304100.0,2026-07-15
1773,002702,海欣食品,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:1,300万元至1,700万元,同比上年增长:34.85%至50.18%。",-15000000.0,42.515,"报告期内,公司加大重点渠道促销政策及市场费用投入,强化定制产品的拓展,相关措施有效转化为收入增量,实现了营业收入、净利润的同比增长。公司后续将持续提升经营能力,改善盈利水平。",减亏,-26095300.0,2026-07-15
1774,002702,海欣食品,每股收益,预计2026年1-6月每股收益亏损:0.0216元至0.0288元。,-0.0252,,"报告期内,公司加大重点渠道促销政策及市场费用投入,强化定制产品的拓展,相关措施有效转化为收入增量,实现了营业收入、净利润的同比增长。公司后续将持续提升经营能力,改善盈利水平。",减亏,-0.0365,2026-07-15
1775,002694,*ST顾地,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:1,111.67万元至1,976.29万元,同比上年下降:31.37%至133.54%。",-15439800.0,-82.455,"本报告期归属于上市公司股东的净利润较上年同期大幅减亏,主要系上年同期公司根据相关诉讼事项计提了大额预计负债约2.87亿元,致上年同期亏损基数较大,本期无该等大额计提。扣除非经常性损益后的净利润亏损幅度较上年同期有所扩大,主要系公司应收款项信用减值损失计提增加以及销售费用上升,同时短期借款增加导致利息费用支出增加所致。",增亏,-8462200.0,2026-07-15
1776,002694,*ST顾地,每股收益,预计2026年1-6月每股收益亏损:0.0151元至0.0277元。,-0.0214,,"本报告期归属于上市公司股东的净利润较上年同期大幅减亏,主要系上年同期公司根据相关诉讼事项计提了大额预计负债约2.87亿元,致上年同期亏损基数较大,本期无该等大额计提。扣除非经常性损益后的净利润亏损幅度较上年同期有所扩大,主要系公司应收款项信用减值损失计提增加以及销售费用上升,同时短期借款增加导致利息费用支出增加所致。",减亏,-0.4091,2026-07-15
1777,002694,*ST顾地,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,085.2万元至1,989.53万元,同比上年增长:93.24%至96.31%。",-15373650.0,94.775,"本报告期归属于上市公司股东的净利润较上年同期大幅减亏,主要系上年同期公司根据相关诉讼事项计提了大额预计负债约2.87亿元,致上年同期亏损基数较大,本期无该等大额计提。扣除非经常性损益后的净利润亏损幅度较上年同期有所扩大,主要系公司应收款项信用减值损失计提增加以及销售费用上升,同时短期借款增加导致利息费用支出增加所致。",减亏,-294093100.0,2026-07-15
1778,002693,双成药业,每股收益,预计2026年1-6月每股收益盈利:0.0241元至0.0362元。,0.03015,,"预计本报告期归属于上市公司股东的净利润同比增长154.15%-181.23%,扣除非经常性损益后的净利润同比增长135.69%-152.34%。业绩变动的主要原因:本报告期注射用紫杉醇(白蛋白结合型)产品出口业务有序开展,美国客户销售稳定推进;该产品于上年5月取得美国上市许可批准,上年同期可实现销售周期较短,导致本期营收同比实现增长,驱动总体业绩扭亏为盈。",扭亏,-0.0445,2026-07-15
1779,002693,双成药业,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,000万元至1,500万元,同比上年增长:154.15%至181.23%。",12500000.0,167.69,"预计本报告期归属于上市公司股东的净利润同比增长154.15%-181.23%,扣除非经常性损益后的净利润同比增长135.69%-152.34%。业绩变动的主要原因:本报告期注射用紫杉醇(白蛋白结合型)产品出口业务有序开展,美国客户销售稳定推进;该产品于上年5月取得美国上市许可批准,上年同期可实现销售周期较短,导致本期营收同比实现增长,驱动总体业绩扭亏为盈。",扭亏,-18466600.0,2026-07-15
1780,002693,双成药业,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:750万元至1,100万元,同比上年增长:135.69%至152.34%。",9250000.0,144.015,"预计本报告期归属于上市公司股东的净利润同比增长154.15%-181.23%,扣除非经常性损益后的净利润同比增长135.69%-152.34%。业绩变动的主要原因:本报告期注射用紫杉醇(白蛋白结合型)产品出口业务有序开展,美国客户销售稳定推进;该产品于上年5月取得美国上市许可批准,上年同期可实现销售周期较短,导致本期营收同比实现增长,驱动总体业绩扭亏为盈。",扭亏,-21015800.0,2026-07-15
1781,002692,远程股份,每股收益,预计2026年1-6月每股收益亏损:0.0835元至0.1253元。,-0.1044,,"公司业绩亏损的主要原因如下:报告期内,公司部分在手闭口订单因前期签订售价锁定,而铜材等核心原材料价格持续高位,履行成本超过合同收入,导致整体毛利率大幅下降;加之行业竞争加剧导致公司产品销售价格有所下行,产品盈利空间被进一步压缩,双重因素导致本期经营业绩由上年同期盈利转为亏损。",首亏,0.0584,2026-07-15
1782,002692,远程股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:6,000万元至9,000万元,同比上年下降:243%至314.51%。",-75000000.0,-278.755,"公司业绩亏损的主要原因如下:报告期内,公司部分在手闭口订单因前期签订售价锁定,而铜材等核心原材料价格持续高位,履行成本超过合同收入,导致整体毛利率大幅下降;加之行业竞争加剧导致公司产品销售价格有所下行,产品盈利空间被进一步压缩,双重因素导致本期经营业绩由上年同期盈利转为亏损。",首亏,41956600.0,2026-07-15
1783,002692,远程股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:6,400万元至9,400万元,同比上年下降:336.74%至447.71%。",-79000000.0,-392.225,"公司业绩亏损的主要原因如下:报告期内,公司部分在手闭口订单因前期签订售价锁定,而铜材等核心原材料价格持续高位,履行成本超过合同收入,导致整体毛利率大幅下降;加之行业竞争加剧导致公司产品销售价格有所下行,产品盈利空间被进一步压缩,双重因素导致本期经营业绩由上年同期盈利转为亏损。",首亏,27034000.0,2026-07-15
1784,002691,*ST冀凯,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:5,600万元至6,200万元。",-59000000.0,-95.76,"本报告期,公司预计归属于上市公司股东的净利润亏损,主要原因为:受煤炭市场行情影响,煤机市场竞争加剧,公司部分产品毛利率有所下降;应收账款回款未达预期,导致信用减值准备增加。2026年上半年,为改善经营状况,公司持续推进内部管理体系优化工作,加大市场开拓力度,全面推进降本增效,强化预算管理等措施,相关管理举措对上半年营业收入增长及成本费用优化的促进效应尚未充分体现;2026年下半年,公司将继续紧盯经营目标,压实管理层责任,常态化跟踪各项措施落地执行。",增亏,-30138900.0,2026-07-15
1785,002691,*ST冀凯,每股收益,预计2026年1-6月每股收益亏损:0.165元至0.182元。,-0.1735,,"本报告期,公司预计归属于上市公司股东的净利润亏损,主要原因为:受煤炭市场行情影响,煤机市场竞争加剧,公司部分产品毛利率有所下降;应收账款回款未达预期,导致信用减值准备增加。2026年上半年,为改善经营状况,公司持续推进内部管理体系优化工作,加大市场开拓力度,全面推进降本增效,强化预算管理等措施,相关管理举措对上半年营业收入增长及成本费用优化的促进效应尚未充分体现;2026年下半年,公司将继续紧盯经营目标,压实管理层责任,常态化跟踪各项措施落地执行。",增亏,-0.089,2026-07-15
1786,002691,*ST冀凯,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:5,900万元至6,500万元。",-62000000.0,-76.775,"本报告期,公司预计归属于上市公司股东的净利润亏损,主要原因为:受煤炭市场行情影响,煤机市场竞争加剧,公司部分产品毛利率有所下降;应收账款回款未达预期,导致信用减值准备增加。2026年上半年,为改善经营状况,公司持续推进内部管理体系优化工作,加大市场开拓力度,全面推进降本增效,强化预算管理等措施,相关管理举措对上半年营业收入增长及成本费用优化的促进效应尚未充分体现;2026年下半年,公司将继续紧盯经营目标,压实管理层责任,常态化跟踪各项措施落地执行。",增亏,-35073400.0,2026-07-15
1787,002686,亿利达,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:200万元至300万元,同比上年下降:85.87%至90.58%。",2500000.0,-88.225,"业绩下降主要原因:1、汽车零部件业务受行业和市场的影响,订单量下降、利润缩减,新订单导入不及预期;2、资产处置收益同比大幅下滑,系上年同期因土地征收事项确认较高处置收益,本期因腾空剩余厂房产生设备处置损失;3、毛利较高的外贸订单交付未达预期;4、本期政府补助同比明显减少。",预减,21228400.0,2026-07-15
1788,002686,亿利达,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:100万元至150万元,同比上年下降:96.25%至97.5%。",1250000.0,-96.875,"业绩下降主要原因:1、汽车零部件业务受行业和市场的影响,订单量下降、利润缩减,新订单导入不及预期;2、资产处置收益同比大幅下滑,系上年同期因土地征收事项确认较高处置收益,本期因腾空剩余厂房产生设备处置损失;3、毛利较高的外贸订单交付未达预期;4、本期政府补助同比明显减少。",预减,40030900.0,2026-07-15
1789,002686,亿利达,每股收益,预计2026年1-6月每股收益盈利:0.0018元至0.0027元。,0.00225,,"业绩下降主要原因:1、汽车零部件业务受行业和市场的影响,订单量下降、利润缩减,新订单导入不及预期;2、资产处置收益同比大幅下滑,系上年同期因土地征收事项确认较高处置收益,本期因腾空剩余厂房产生设备处置损失;3、毛利较高的外贸订单交付未达预期;4、本期政府补助同比明显减少。",预减,0.0707,2026-07-15
1790,002685,华东重机,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:5,500万元至7,200万元,同比上年增长:110.28%至175.27%。",63500000.0,142.775,"报告期内,公司归属于上市公司股东的净利润较上年同期实现较大幅度增长,主要原因如下:(一)主营业务规模增长,盈利能力持续提升。报告期内,公司紧抓国家海洋强国战略及全球港口智能化升级的历史机遇,聚焦智能港口装卸设备核心主业,依托充足的在手订单储备及市场占有率的稳步攀升,重点项目交付有序,报告期内公司营业收入与利润规模均实现大幅增长,经营质量稳步提升;公司港机业务在手订单创历史新高,为后续经营业绩提供坚实保障。(二)汇率波动对当期收益形成一定阶段性影响,报告期内美元兑人民币汇率整体走低,公司所持美元应收账款等外币资产产生一定汇兑及估值损失,对当期收益形成阶段性扰动;剔除该因素后,公司主营业务盈利增长更为显著。公司将持续加强外币资产与汇率风险管理,平抑汇率波动的短期影响。另外,本报告期光伏业务不再纳入合并报表范围,上年同期光伏业务相关影响已消除。",预增,26155700.0,2026-07-15
1791,002685,华东重机,每股收益,预计2026年1-6月每股收益盈利:0.0546元至0.0715元。,0.06305,,"报告期内,公司归属于上市公司股东的净利润较上年同期实现较大幅度增长,主要原因如下:(一)主营业务规模增长,盈利能力持续提升。报告期内,公司紧抓国家海洋强国战略及全球港口智能化升级的历史机遇,聚焦智能港口装卸设备核心主业,依托充足的在手订单储备及市场占有率的稳步攀升,重点项目交付有序,报告期内公司营业收入与利润规模均实现大幅增长,经营质量稳步提升;公司港机业务在手订单创历史新高,为后续经营业绩提供坚实保障。(二)汇率波动对当期收益形成一定阶段性影响,报告期内美元兑人民币汇率整体走低,公司所持美元应收账款等外币资产产生一定汇兑及估值损失,对当期收益形成阶段性扰动;剔除该因素后,公司主营业务盈利增长更为显著。公司将持续加强外币资产与汇率风险管理,平抑汇率波动的短期影响。另外,本报告期光伏业务不再纳入合并报表范围,上年同期光伏业务相关影响已消除。",预增,0.026,2026-07-15
1792,002685,华东重机,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:5,500万元至7,200万元,同比上年增长:105.87%至169.5%。",63500000.0,137.685,"报告期内,公司归属于上市公司股东的净利润较上年同期实现较大幅度增长,主要原因如下:(一)主营业务规模增长,盈利能力持续提升。报告期内,公司紧抓国家海洋强国战略及全球港口智能化升级的历史机遇,聚焦智能港口装卸设备核心主业,依托充足的在手订单储备及市场占有率的稳步攀升,重点项目交付有序,报告期内公司营业收入与利润规模均实现大幅增长,经营质量稳步提升;公司港机业务在手订单创历史新高,为后续经营业绩提供坚实保障。(二)汇率波动对当期收益形成一定阶段性影响,报告期内美元兑人民币汇率整体走低,公司所持美元应收账款等外币资产产生一定汇兑及估值损失,对当期收益形成阶段性扰动;剔除该因素后,公司主营业务盈利增长更为显著。公司将持续加强外币资产与汇率风险管理,平抑汇率波动的短期影响。另外,本报告期光伏业务不再纳入合并报表范围,上年同期光伏业务相关影响已消除。",预增,26716300.0,2026-07-15
1793,002682,龙洲股份,每股收益,预计2026年1-6月每股收益亏损:0.16元至0.2元。,-0.18,,"报告期内,公司业绩变动的主要原因是:1.公司沥青供应链业务受地方财政资金紧缩及工程项目启动缓慢等多重因素影响,沥青刚性需求恢复不及预期,当前公司主要聚焦发展优质客户,提升单客规模与合作深度,收缩非核心、低毛利业务,公司沥青供应链业务营业收入同比减少,但毛利率较上年同期上升。2.公司汽车客运及站务服务业务受公众出行习惯变化,叠加高铁、动车网络覆盖率、私家车占有率持续提高等多重因素影响,汽车客运及站务服务业务营业收入及营业利润同比减少。3.公司全资子公司龙岩畅丰专用汽车有限公司本期交付的订单量减少,营业收入及营业利润同比减少。",增亏,-0.12,2026-07-15
1794,002682,龙洲股份,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:9,000万元至11,500万元,同比上年下降:36.41%至74.3%。",-102500000.0,-55.355,"报告期内,公司业绩变动的主要原因是:1.公司沥青供应链业务受地方财政资金紧缩及工程项目启动缓慢等多重因素影响,沥青刚性需求恢复不及预期,当前公司主要聚焦发展优质客户,提升单客规模与合作深度,收缩非核心、低毛利业务,公司沥青供应链业务营业收入同比减少,但毛利率较上年同期上升。2.公司汽车客运及站务服务业务受公众出行习惯变化,叠加高铁、动车网络覆盖率、私家车占有率持续提高等多重因素影响,汽车客运及站务服务业务营业收入及营业利润同比减少。3.公司全资子公司龙岩畅丰专用汽车有限公司本期交付的订单量减少,营业收入及营业利润同比减少。",增亏,-65978600.0,2026-07-15
1795,002682,龙洲股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:9,700万元至12,500万元,同比上年下降:23%至58.5%。",-111000000.0,-40.75,"报告期内,公司业绩变动的主要原因是:1.公司沥青供应链业务受地方财政资金紧缩及工程项目启动缓慢等多重因素影响,沥青刚性需求恢复不及预期,当前公司主要聚焦发展优质客户,提升单客规模与合作深度,收缩非核心、低毛利业务,公司沥青供应链业务营业收入同比减少,但毛利率较上年同期上升。2.公司汽车客运及站务服务业务受公众出行习惯变化,叠加高铁、动车网络覆盖率、私家车占有率持续提高等多重因素影响,汽车客运及站务服务业务营业收入及营业利润同比减少。3.公司全资子公司龙岩畅丰专用汽车有限公司本期交付的订单量减少,营业收入及营业利润同比减少。",增亏,-78862800.0,2026-07-15
1796,002681,奋达科技,每股收益,预计2026年1-6月每股收益盈利:0.0014元至0.002元。,0.0017,,"1、报告期内,公司营收实现同比增长,由于上游原材料价格持续上涨,尽管公司已提前进行战略备料,但受原材料价格涨幅超预期及向下游价格传导存在滞后等因素影响,仍对利润产生不利影响;公司已积极同客户协商建立原材料价格联动调整机制,同时通过降本增效、工艺改进等方式改善经营业绩。2、报告期内,人民币持续升值,汇率波动产生的汇兑损失致使公司财务费用同比增加,对利润造成不利影响。",预减,0.0095,2026-07-15
1797,002681,奋达科技,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:260万元至360万元,同比上年下降:78.93%至84.78%。",3100000.0,-81.855,"1、报告期内,公司营收实现同比增长,由于上游原材料价格持续上涨,尽管公司已提前进行战略备料,但受原材料价格涨幅超预期及向下游价格传导存在滞后等因素影响,仍对利润产生不利影响;公司已积极同客户协商建立原材料价格联动调整机制,同时通过降本增效、工艺改进等方式改善经营业绩。2、报告期内,人民币持续升值,汇率波动产生的汇兑损失致使公司财务费用同比增加,对利润造成不利影响。",预减,17087500.0,2026-07-15
1798,002681,奋达科技,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:700万元至800万元,同比上年下降:315.89%至346.73%。",-7500000.0,-331.31,"1、报告期内,公司营收实现同比增长,由于上游原材料价格持续上涨,尽管公司已提前进行战略备料,但受原材料价格涨幅超预期及向下游价格传导存在滞后等因素影响,仍对利润产生不利影响;公司已积极同客户协商建立原材料价格联动调整机制,同时通过降本增效、工艺改进等方式改善经营业绩。2、报告期内,人民币持续升值,汇率波动产生的汇兑损失致使公司财务费用同比增加,对利润造成不利影响。",首亏,3242400.0,2026-07-15
1799,002679,福建金森,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,000万元至1,800万元,同比上年增长:7.27%至48.49%。",-14000000.0,27.88,"公司根据各季度的天气状况、预测施工方用工情况及年度生产目标制定生产计划的销售节奏与行业一致,历年来公司上半年度业绩相对较低,属于行业正常经营表现;公司报告期内收到的政府补助较上年同期增加。",减亏,-19411000.0,2026-07-15
1800,002679,福建金森,每股收益,预计2026年1-6月每股收益亏损:0.04元至0.08元。,-0.06,,"公司根据各季度的天气状况、预测施工方用工情况及年度生产目标制定生产计划的销售节奏与行业一致,历年来公司上半年度业绩相对较低,属于行业正常经营表现;公司报告期内收到的政府补助较上年同期增加。",减亏,-0.08,2026-07-15
1801,002679,福建金森,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:1,050万元至1,850万元,同比上年增长:5.01%至46.08%。",-14500000.0,25.545,"公司根据各季度的天气状况、预测施工方用工情况及年度生产目标制定生产计划的销售节奏与行业一致,历年来公司上半年度业绩相对较低,属于行业正常经营表现;公司报告期内收到的政府补助较上年同期增加。",减亏,-19475000.0,2026-07-15
1802,002678,珠江钢琴,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润亏损:11,500万元至13,500万元,同比上年增长:1.99%至16.51%。",-125000000.0,9.25,"受乐器消费市场整体动能偏弱影响,行业仍处于深度调整期,传统钢琴业务市场需求延续低迷态势,主业营收规模承压,是公司当期经营亏损的主要原因。面对行业周期性下行压力,公司主动向内挖潜、精准实施提质增效组合拳:统筹优化产能与工艺布局、有效整合场地空间资源、盘活闲置存量资产,优化人员结构,持续清退低效产能、压降经营成本。前述经营改善举措落地见效,当期亏损幅度同比收窄。在此基础上,公司加速推进战略转型升级,持续完善产业布局:一方面稳固传统钢琴主业基本盘,深耕细分消费市场、优化营销体系、强化全流程质量管控;另一方面大力发展景区运营、演艺灯光等新业务,持续培育企业增长新动能,为公司中长期可持续、高质量发展筑牢战略基础。",减亏,-137738800.0,2026-07-15
